file,path,heuristic,status,runtime_sec,decisions,conflicts,learned_clauses,propagations
uf20-0117.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0117.cnf,baseline,SAT,0.011388,11,7,7,75
uf20-0117.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0117.cnf,vsids,SAT,0.018621,14,12,12,139
uf20-0118.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0118.cnf,baseline,SAT,0.00492,5,2,2,26
uf20-0118.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0118.cnf,vsids,SAT,0.022508,22,15,15,134
uf20-0119.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0119.cnf,baseline,SAT,0.005333,7,0,0,12
uf20-0119.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0119.cnf,vsids,SAT,0.014807,16,10,10,105
uf20-012.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-012.cnf,baseline,SAT,0.004688,5,0,0,14
uf20-012.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-012.cnf,vsids,SAT,0.003843,4,1,1,26
uf20-0120.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0120.cnf,baseline,SAT,0.00877,8,2,2,29
uf20-0120.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0120.cnf,vsids,SAT,0.017198,16,11,11,116
uf20-0121.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0121.cnf,baseline,SAT,0.013256,14,8,8,94
uf20-0121.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0121.cnf,vsids,SAT,0.007714,8,4,4,45
uf20-0122.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0122.cnf,baseline,SAT,0.009469,11,6,6,65
uf20-0122.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0122.cnf,vsids,SAT,0.012025,12,8,8,92
uf20-0123.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0123.cnf,baseline,SAT,0.003407,3,1,1,21
uf20-0123.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0123.cnf,vsids,SAT,0.005995,6,3,3,32
uf20-0124.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0124.cnf,baseline,SAT,0.006315,8,0,0,11
uf20-0124.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0124.cnf,vsids,SAT,0.004376,6,1,1,22
uf20-0125.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0125.cnf,baseline,SAT,0.012126,12,9,9,108
uf20-0125.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0125.cnf,vsids,SAT,0.00564,6,3,3,34
uf20-0126.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0126.cnf,baseline,SAT,0.014878,18,11,11,108
uf20-0126.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0126.cnf,vsids,SAT,0.014098,13,8,8,92
uf20-0127.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0127.cnf,baseline,SAT,0.009518,12,4,4,53
uf20-0127.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0127.cnf,vsids,SAT,0.011904,15,8,8,67
uf20-0128.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0128.cnf,baseline,SAT,0.017993,20,9,9,103
uf20-0128.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0128.cnf,vsids,SAT,0.004206,4,0,0,15
uf20-0129.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0129.cnf,baseline,SAT,0.011137,11,7,7,67
uf20-0129.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0129.cnf,vsids,SAT,0.005006,6,0,0,13
uf20-013.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-013.cnf,baseline,SAT,0.00695,7,3,3,41
uf20-013.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-013.cnf,vsids,SAT,0.011324,9,6,6,73
uf20-0130.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0130.cnf,baseline,SAT,0.011912,12,10,10,101
uf20-0130.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0130.cnf,vsids,SAT,0.008664,9,5,5,54
uf20-0131.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0131.cnf,baseline,SAT,0.005586,9,2,2,25
uf20-0131.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0131.cnf,vsids,SAT,0.005246,8,0,0,12
uf20-0132.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0132.cnf,baseline,SAT,0.017041,16,12,12,105
uf20-0132.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0132.cnf,vsids,SAT,0.017616,13,12,12,132
uf20-0133.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0133.cnf,baseline,SAT,0.007412,8,4,4,58
uf20-0133.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0133.cnf,vsids,SAT,0.00506,6,1,1,21
uf20-0134.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0134.cnf,baseline,SAT,0.004227,7,2,2,23
uf20-0134.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0134.cnf,vsids,SAT,0.006062,7,1,1,28
uf20-0135.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0135.cnf,baseline,SAT,0.014709,19,12,12,104
uf20-0135.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0135.cnf,vsids,SAT,0.007736,7,3,3,41
uf20-0136.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0136.cnf,baseline,SAT,0.018263,21,14,14,109
uf20-0136.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0136.cnf,vsids,SAT,0.006498,6,3,3,34
uf20-0137.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0137.cnf,baseline,SAT,0.00732,10,2,2,20
uf20-0137.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0137.cnf,vsids,SAT,0.006727,6,2,2,22
uf20-0138.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0138.cnf,baseline,SAT,0.014398,13,10,10,99
uf20-0138.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0138.cnf,vsids,SAT,0.02254,21,17,17,152
uf20-0139.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0139.cnf,baseline,SAT,0.005953,7,0,0,12
uf20-0139.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0139.cnf,vsids,SAT,0.011805,13,7,7,78
uf20-014.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-014.cnf,baseline,SAT,0.011629,10,6,6,69
uf20-014.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-014.cnf,vsids,SAT,0.015694,15,7,7,67
uf20-0140.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0140.cnf,baseline,SAT,0.004187,4,2,2,35
uf20-0140.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0140.cnf,vsids,SAT,0.007467,9,4,4,50
uf20-0141.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0141.cnf,baseline,SAT,0.017922,14,11,11,120
uf20-0141.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0141.cnf,vsids,SAT,0.012121,11,9,9,105
uf20-0142.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0142.cnf,baseline,SAT,0.007997,10,2,2,31
uf20-0142.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0142.cnf,vsids,SAT,0.009742,11,8,8,67
uf20-0143.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0143.cnf,baseline,SAT,0.004769,6,0,0,14
uf20-0143.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0143.cnf,vsids,SAT,0.008772,14,5,5,48
uf20-0144.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0144.cnf,baseline,SAT,0.008056,10,2,2,26
uf20-0144.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0144.cnf,vsids,SAT,0.0077,7,4,4,47
uf20-0145.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0145.cnf,baseline,SAT,0.003497,4,0,0,16
uf20-0145.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0145.cnf,vsids,SAT,0.011114,12,8,8,85
uf20-0146.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0146.cnf,baseline,SAT,0.008157,9,5,5,57
uf20-0146.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0146.cnf,vsids,SAT,0.009752,9,3,3,30
uf20-0147.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0147.cnf,baseline,SAT,0.016384,13,12,12,114
uf20-0147.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0147.cnf,vsids,SAT,0.018504,18,15,15,130
uf20-0148.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0148.cnf,baseline,SAT,0.006587,6,3,3,44
uf20-0148.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0148.cnf,vsids,SAT,0.006515,10,3,3,33
uf20-0149.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0149.cnf,baseline,SAT,0.007503,10,1,1,22
uf20-0149.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0149.cnf,vsids,SAT,0.019635,19,14,14,132
uf20-015.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-015.cnf,baseline,SAT,0.004413,6,0,0,14
uf20-015.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-015.cnf,vsids,SAT,0.008537,7,5,5,65
uf20-0150.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0150.cnf,baseline,SAT,0.013449,14,9,9,80
uf20-0150.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0150.cnf,vsids,SAT,0.009645,13,7,7,70
uf20-0151.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0151.cnf,baseline,SAT,0.008265,8,4,4,49
uf20-0151.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0151.cnf,vsids,SAT,0.006321,8,1,1,16
uf20-0152.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0152.cnf,baseline,SAT,0.006507,7,2,2,35
uf20-0152.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0152.cnf,vsids,SAT,0.011241,12,7,7,70
uf20-0153.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0153.cnf,baseline,SAT,0.007836,9,2,2,23
uf20-0153.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0153.cnf,vsids,SAT,0.005546,5,1,1,22
uf20-0154.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0154.cnf,baseline,SAT,0.009884,10,6,6,62
uf20-0154.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0154.cnf,vsids,SAT,0.017331,17,13,13,112
uf20-0155.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0155.cnf,baseline,SAT,0.007977,9,3,3,45
uf20-0155.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0155.cnf,vsids,SAT,0.008813,11,3,3,34
uf20-0156.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0156.cnf,baseline,SAT,0.007883,8,2,2,34
uf20-0156.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0156.cnf,vsids,SAT,0.007258,10,3,3,36
uf20-0157.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0157.cnf,baseline,SAT,0.00454,5,2,2,23
uf20-0157.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0157.cnf,vsids,SAT,0.013575,14,11,11,119
uf20-0158.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0158.cnf,baseline,SAT,0.007409,10,5,5,38
uf20-0158.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0158.cnf,vsids,SAT,0.006029,7,4,4,48
uf20-0159.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0159.cnf,baseline,SAT,0.020324,22,15,15,142
uf20-0159.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0159.cnf,vsids,SAT,0.006338,6,2,2,31
uf20-016.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-016.cnf,baseline,SAT,0.008744,10,4,4,54
uf20-016.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-016.cnf,vsids,SAT,0.007243,6,3,3,44
uf20-0160.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0160.cnf,baseline,SAT,0.011263,10,6,6,64
uf20-0160.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0160.cnf,vsids,SAT,0.005857,9,3,3,39
uf20-0161.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0161.cnf,baseline,SAT,0.008459,8,5,5,36
uf20-0161.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0161.cnf,vsids,SAT,0.009472,10,6,6,66
uf20-0162.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0162.cnf,baseline,SAT,0.005732,4,0,0,16
uf20-0162.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0162.cnf,vsids,SAT,0.011248,12,5,5,53
uf20-0163.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0163.cnf,baseline,SAT,0.011448,13,3,3,26
uf20-0163.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0163.cnf,vsids,SAT,0.007831,8,2,2,17
uf20-0164.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0164.cnf,baseline,SAT,0.004875,6,0,0,14
uf20-0164.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0164.cnf,vsids,SAT,0.006816,7,3,3,39
uf20-0165.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0165.cnf,baseline,SAT,0.008879,9,6,6,52
uf20-0165.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0165.cnf,vsids,SAT,0.005967,7,2,2,17
uf20-0166.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0166.cnf,baseline,SAT,0.013752,18,12,12,120
uf20-0166.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0166.cnf,vsids,SAT,0.002961,3,0,0,15
uf20-0167.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0167.cnf,baseline,SAT,0.003953,4,1,1,23
uf20-0167.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0167.cnf,vsids,SAT,0.018383,20,16,16,152
uf20-0168.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0168.cnf,baseline,SAT,0.00381,3,0,0,17
uf20-0168.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0168.cnf,vsids,SAT,0.019319,24,16,16,138
uf20-0169.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0169.cnf,baseline,SAT,0.006444,5,3,3,37
uf20-0169.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0169.cnf,vsids,SAT,0.016686,19,12,12,108
uf20-017.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-017.cnf,baseline,SAT,0.009494,12,7,7,91
uf20-017.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-017.cnf,vsids,SAT,0.009495,10,3,3,34
uf20-0170.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0170.cnf,baseline,SAT,0.007254,10,2,2,27
uf20-0170.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0170.cnf,vsids,SAT,0.008429,11,5,5,46
uf20-0171.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0171.cnf,baseline,SAT,0.012907,13,7,7,78
uf20-0171.cnf,C:\Users\Alkizar\Downloads\uf20-91\uf20-0171.cnf,vsids,SAT,0.010823,13,6,6,59
