file,path,heuristic,status,runtime_sec,decisions,conflicts,learned_clauses,propagations
flat100-1.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-1.cnf,baseline,TIMEOUT,60.074887,463,256,256,20339
flat100-1.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-1.cnf,vsids,SAT,38.115823,307,133,133,10609
flat100-10.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-10.cnf,baseline,TIMEOUT,60.435701,292,189,189,16396
flat100-10.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-10.cnf,vsids,SAT,4.300868,27,1,1,320
flat100-100.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-100.cnf,baseline,TIMEOUT,60.429039,350,187,187,16338
flat100-100.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-100.cnf,vsids,TIMEOUT,60.352601,293,158,158,14221
flat100-11.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-11.cnf,baseline,TIMEOUT,60.000436,451,231,231,18398
flat100-11.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-11.cnf,vsids,SAT,56.217809,384,194,194,16056
flat100-12.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-12.cnf,baseline,TIMEOUT,60.04255,417,209,209,17309
flat100-12.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-12.cnf,vsids,TIMEOUT,60.154051,411,220,220,17719
flat100-13.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-13.cnf,baseline,TIMEOUT,60.017113,418,213,213,17224
flat100-13.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-13.cnf,vsids,SAT,22.800107,163,71,71,5981
flat100-14.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-14.cnf,baseline,TIMEOUT,60.128549,429,225,225,18170
flat100-14.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-14.cnf,vsids,SAT,37.075927,286,123,123,10438
flat100-15.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-15.cnf,baseline,TIMEOUT,60.285828,332,188,188,16240
flat100-15.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-15.cnf,vsids,TIMEOUT,60.025434,371,197,197,16710
flat100-16.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-16.cnf,baseline,TIMEOUT,60.065142,340,190,190,15396
flat100-16.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-16.cnf,vsids,SAT,4.592686,26,4,4,675
flat100-17.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-17.cnf,baseline,SAT,5.642592,41,6,6,620
flat100-17.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-17.cnf,vsids,SAT,35.010496,282,113,113,9299
flat100-18.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-18.cnf,baseline,TIMEOUT,60.143003,330,176,176,15252
flat100-18.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-18.cnf,vsids,TIMEOUT,60.23802,299,174,174,13712
flat100-19.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-19.cnf,baseline,TIMEOUT,60.007132,391,200,200,17104
flat100-19.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-19.cnf,vsids,SAT,13.676693,64,29,29,2683
flat100-2.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-2.cnf,baseline,TIMEOUT,60.376778,314,153,153,13991
flat100-2.cnf,C:\Users\Alkizar\Downloads\flat100-239\flat100-2.cnf,vsids,SAT,19.06015,107,54,54,4905
