file,path,heuristic,status,runtime_sec,decisions,conflicts,learned_clauses,propagations
flat30-1.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-1.cnf,baseline,SAT,0.16343,14,0,0,76
flat30-1.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-1.cnf,vsids,SAT,0.109885,9,0,0,81
flat30-10.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-10.cnf,baseline,SAT,0.077079,9,0,0,81
flat30-10.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-10.cnf,vsids,SAT,0.175832,14,1,1,114
flat30-100.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-100.cnf,baseline,SAT,0.121832,10,0,0,80
flat30-100.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-100.cnf,vsids,SAT,0.121611,8,1,1,121
flat30-11.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-11.cnf,baseline,SAT,0.290127,20,6,6,269
flat30-11.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-11.cnf,vsids,SAT,0.124674,11,0,0,79
flat30-12.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-12.cnf,baseline,SAT,0.136414,11,2,2,162
flat30-12.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-12.cnf,vsids,SAT,0.150985,12,0,0,78
flat30-13.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-13.cnf,baseline,SAT,0.23725,16,3,3,176
flat30-13.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-13.cnf,vsids,SAT,0.244273,18,7,7,306
flat30-14.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-14.cnf,baseline,SAT,0.139954,14,0,0,76
flat30-14.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-14.cnf,vsids,SAT,0.204966,17,1,1,102
flat30-15.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-15.cnf,baseline,SAT,0.167875,16,2,2,147
flat30-15.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-15.cnf,vsids,SAT,0.184803,10,2,2,176
flat30-16.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-16.cnf,baseline,SAT,0.131941,14,3,3,139
flat30-16.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-16.cnf,vsids,SAT,0.340099,28,7,7,274
flat30-17.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-17.cnf,baseline,SAT,0.103258,9,1,1,102
flat30-17.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-17.cnf,vsids,SAT,0.095444,10,0,0,80
flat30-18.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-18.cnf,baseline,SAT,0.177926,16,3,3,178
flat30-18.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-18.cnf,vsids,SAT,0.125602,7,0,0,83
flat30-19.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-19.cnf,baseline,SAT,0.128479,12,0,0,78
flat30-19.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-19.cnf,vsids,SAT,0.183482,15,5,5,225
flat30-2.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-2.cnf,baseline,SAT,0.140584,13,0,0,77
flat30-2.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-2.cnf,vsids,SAT,0.161532,11,2,2,126
flat30-20.cnf,C:\Users\Alkizar\Downloads\flat30-60\flat30-20.cnf,baseline,SAT,0.150342,16,1,1,128
